id,label,type,canonical_id,domain,description
B_Moon,B_Moon,astro_alias,Moon,astro,B_Moon alias of Moon.
B_Neptune,B_Neptune,astro_alias,Neptune,astro,B_Neptune alias of Neptune.
B_Pluto,B_Pluto,astro_alias,Pluto,astro,B_Pluto alias of Pluto.
B_Saturn,B_Saturn,astro_alias,Saturn,astro,B_Saturn alias of Saturn.
B_Sun,B_Sun,astro_alias,Sun,astro,B_Sun alias of Sun.
B_Uranus,B_Uranus,astro_alias,Uranus,astro,B_Uranus alias of Uranus.
B_Venus,B_Venus,astro_alias,Venus,astro,B_Venus alias of Venus.
CHEONGAN_갑목,CHEONGAN_갑목,cross_concept,,cross,CHEONGAN_갑목 conceptual alias node.
CHEONGAN_경금,CHEONGAN_경금,cross_concept,,cross,CHEONGAN_경금 conceptual alias node.
CHEONGAN_계수,CHEONGAN_계수,cross_concept,,cross,CHEONGAN_계수 conceptual alias node.
CHEONGAN_기토,CHEONGAN_기토,cross_concept,,cross,CHEONGAN_기토 conceptual alias node.
CHEONGAN_무토,CHEONGAN_무토,cross_concept,,cross,CHEONGAN_무토 conceptual alias node.
CHEONGAN_병화,CHEONGAN_병화,cross_concept,,cross,CHEONGAN_병화 conceptual alias node.
CHEONGAN_신금,CHEONGAN_신금,cross_concept,,cross,CHEONGAN_신금 conceptual alias node.
CHEONGAN_을목,CHEONGAN_을목,cross_concept,,cross,CHEONGAN_을목 conceptual alias node.
CHEONGAN_임수,CHEONGAN_임수,cross_concept,,cross,CHEONGAN_임수 conceptual alias node.
CHEONGAN_정화,CHEONGAN_정화,cross_concept,,cross,CHEONGAN_정화 conceptual alias node.
COMP_Jupiter,COMP_Jupiter,cross_concept,,cross,COMP_Jupiter conceptual alias node.
COMP_Mars,COMP_Mars,cross_concept,,cross,COMP_Mars conceptual alias node.
COMP_Mercury,COMP_Mercury,cross_concept,,cross,COMP_Mercury conceptual alias node.
COMP_Moon,COMP_Moon,cross_concept,,cross,COMP_Moon conceptual alias node.
COMP_Neptune,COMP_Neptune,cross_concept,,cross,COMP_Neptune conceptual alias node.
COMP_Pluto,COMP_Pluto,cross_concept,,cross,COMP_Pluto conceptual alias node.
COMP_Saturn,COMP_Saturn,cross_concept,,cross,COMP_Saturn conceptual alias node.
COMP_Sun,COMP_Sun,cross_concept,,cross,COMP_Sun conceptual alias node.
COMP_Uranus,COMP_Uranus,cross_concept,,cross,COMP_Uranus conceptual alias node.
COMP_Venus,COMP_Venus,cross_concept,,cross,COMP_Venus conceptual alias node.
DREAM_ABUSE,DREAM_ABUSE,dream_concept,,dream,DREAM_ABUSE conceptual alias node.
DREAM_ADDICTION,DREAM_ADDICTION,dream_concept,,dream,DREAM_ADDICTION conceptual alias node.
DREAM_ANIMA_이상적여인,DREAM_ANIMA_이상적여인,dream_concept,,dream,DREAM_ANIMA_이상적여인 conceptual alias node.
DREAM_BEGINNING,DREAM_BEGINNING,dream_concept,,dream,DREAM_BEGINNING conceptual alias node.
DREAM_BUILDING,DREAM_BUILDING,dream_concept,,dream,DREAM_BUILDING conceptual alias node.
DREAM_CHANGE,DREAM_CHANGE,dream_concept,,dream,DREAM_CHANGE conceptual alias node.
DREAM_CHOICE,DREAM_CHOICE,dream_concept,,dream,DREAM_CHOICE conceptual alias node.
DREAM_COMMUNICATION,DREAM_COMMUNICATION,dream_concept,,dream,DREAM_COMMUNICATION conceptual alias node.
DREAM_CREATIVITY,DREAM_CREATIVITY,dream_concept,,dream,DREAM_CREATIVITY conceptual alias node.
DREAM_DESIRE,DREAM_DESIRE,dream_concept,,dream,DREAM_DESIRE conceptual alias node.
DREAM_EGO,DREAM_EGO,dream_concept,,dream,DREAM_EGO conceptual alias node.
DREAM_ENDING,DREAM_ENDING,dream_concept,,dream,DREAM_ENDING conceptual alias node.
DREAM_FREEDOM,DREAM_FREEDOM,dream_concept,,dream,DREAM_FREEDOM conceptual alias node.
DREAM_HOME,DREAM_HOME,dream_concept,,dream,DREAM_HOME conceptual alias node.
DREAM_HUMANITARIAN,DREAM_HUMANITARIAN,dream_concept,,dream,DREAM_HUMANITARIAN conceptual alias node.
DREAM_ILLUMINATION,DREAM_ILLUMINATION,dream_concept,,dream,DREAM_ILLUMINATION conceptual alias node.
DREAM_INDEPENDENCE,DREAM_INDEPENDENCE,dream_concept,,dream,DREAM_INDEPENDENCE conceptual alias node.
DREAM_INTEGRATION,DREAM_INTEGRATION,dream_concept,,dream,DREAM_INTEGRATION conceptual alias node.
DREAM_INTIMACY,DREAM_INTIMACY,dream_concept,,dream,DREAM_INTIMACY conceptual alias node.
DREAM_INTROSPECTION,DREAM_INTROSPECTION,dream_concept,,dream,DREAM_INTROSPECTION conceptual alias node.
DREAM_LAZINESS,DREAM_LAZINESS,dream_concept,,dream,DREAM_LAZINESS conceptual alias node.
DREAM_LEADERSHIP,DREAM_LEADERSHIP,dream_concept,,dream,DREAM_LEADERSHIP conceptual alias node.
DREAM_MASK,DREAM_MASK,dream_concept,,dream,DREAM_MASK conceptual alias node.
DREAM_MYSTERY,DREAM_MYSTERY,dream_concept,,dream,DREAM_MYSTERY conceptual alias node.
DREAM_NUMBER_DIRECT,DREAM_NUMBER_DIRECT,dream_concept,,dream,DREAM_NUMBER_DIRECT conceptual alias node.
DREAM_NURTURING,DREAM_NURTURING,dream_concept,,dream,DREAM_NURTURING conceptual alias node.
DREAM_OBJECTS_COUNT,DREAM_OBJECTS_COUNT,dream_concept,,dream,DREAM_OBJECTS_COUNT conceptual alias node.
